rasn,prefix,as_path
1078,1.2.0.0/16,"(1078, 7018, 3257, 10886, 27)"
1080,1.2.0.0/16,"(1080, 3356, 10886, 27)"
1082,1.2.0.0/16,"(1082, 3356, 10886, 27)"
1083,1.2.0.0/16,"(1083, 19151, 42, 10886, 27)"
1084,1.2.0.0/16,"(1084, 11492, 293, 10886, 27)"
1085,1.2.0.0/16,"(1085, 803, 293, 10886, 27)"
1086,1.2.0.0/16,"(1086, 174, 10886, 27)"
1087,1.2.0.0/16,"(1087, 16904, 23473, 42, 10886, 27)"
1088,1.2.0.0/16,"(1088, 174, 10886, 27)"
1089,1.2.0.0/16,"(1089, 174, 10886, 27)"
1096,1.2.0.0/16,"(1096, 174, 10886, 27)"
1097,1.2.0.0/16,"(1097, 14907, 2152, 25)"
1098,1.2.0.0/16,"(1098, 13415, 293, 10886, 27)"
1099,1.2.0.0/16,"(1099, 6939, 2152, 25)"
1100,1.2.0.0/16,"(1100, 6939, 2152, 25)"
1101,1.2.0.0/16,"(1101, 293, 10886, 27)"
1102,1.2.0.0/16,"(1102, 1101, 293, 10886, 27)"
1103,1.2.0.0/16,"(1103, 49544, 2152, 25)"
1104,1.2.0.0/16,"(1104, 49544, 2152, 25)"
1109,1.2.0.0/16,"(1109, 1853, 2635, 2152, 25)"
1110,1.2.0.0/16,"(1110, 1853, 2635, 2152, 25)"
1111,1.2.0.0/16,"(1111, 47147, 42, 10886, 27)"
1112,1.2.0.0/16,"(1112, 1853, 2635, 2152, 25)"
1113,1.2.0.0/16,"(1113, 1853, 2635, 2152, 25)"
1114,1.2.0.0/16,"(1114, 1853, 2635, 2152, 25)"
1115,1.2.0.0/16,"(1115, 1853, 2635, 2152, 25)"
1117,1.2.0.0/16,"(1117, 1853, 2635, 2152, 25)"
1120,1.2.0.0/16,"(1120, 6939, 2152, 25)"
1124,1.2.0.0/16,"(1124, 1103, 49544, 2152, 25)"
1126,1.2.0.0/16,"(1126, 293, 10886, 27)"
1128,1.2.0.0/16,"(1128, 1103, 49544, 2152, 25)"
1133,1.2.0.0/16,"(1133, 1103, 49544, 2152, 25)"
1136,1.2.0.0/16,"(1136, 714, 2152, 25)"
1140,1.2.0.0/16,"(1140, 7342, 2152, 25)"
1145,1.2.0.0/16,"(1145, 1103, 49544, 2152, 25)"
1147,1.2.0.0/16,"(1147, 1103, 49544, 2152, 25)"
1149,1.2.0.0/16,"(1149, 8849, 6939, 2152, 25)"
1152,1.2.0.0/16,"(1152, 1103, 49544, 2152, 25)"
1161,1.2.0.0/16,"(1161, 1103, 49544, 2152, 25)"
