asn,prefix,as_path
263594,1.2.0.0/16,"(269096, 3356, 2152, 25)"
271808,1.2.0.0/16,"(272935, 23520, 3356, 2152, 25)"
273897,1.2.0.0/16,"(264764, 12956, 3257, 10886, 27)"
273041,1.2.0.0/16,"(264764, 12956, 3257, 10886, 27)"
269918,1.2.0.0/16,"(264628, 6762, 3257, 10886, 27)"
269357,1.2.0.0/16,"(264598, 22381, 174, 10886, 27)"
269620,1.2.0.0/16,"(264592, 3356, 2152, 25)"
268601,1.2.0.0/16,"(264592, 3356, 2152, 25)"
61919,1.2.0.0/16,"(264592, 3356, 2152, 25)"
269392,1.2.0.0/16,"(264589, 61568, 174, 10886, 27)"
269247,1.2.0.0/16,"(264997, 6762, 3257, 10886, 27)"
273726,1.2.0.0/16,"(264565, 37468, 174, 10886, 27)"
271104,1.2.0.0/16,"(264544, 16735, 3356, 2152, 25)"
266459,1.2.0.0/16,"(264544, 16735, 3356, 2152, 25)"
263868,1.2.0.0/16,"(264544, 16735, 3356, 2152, 25)"
264108,1.2.0.0/16,"(265038, 3356, 2152, 25)"
273368,1.2.0.0/16,"(264525, 174, 10886, 27)"
269136,1.2.0.0/16,"(264517, 174, 10886, 27)"
61632,1.2.0.0/16,"(264517, 174, 10886, 27)"
61660,1.2.0.0/16,"(264516, 22381, 174, 10886, 27)"
265500,1.2.0.0/16,"(266445, 174, 10886, 27)"
265063,1.2.0.0/16,"(266445, 174, 10886, 27)"
269718,1.2.0.0/16,"(270867, 4230, 6762, 3257, 10886, 27)"
265408,1.2.0.0/16,"(264525, 174, 10886, 27)"
273454,1.2.0.0/16,"(264492, 52468, 174, 10886, 27)"
266509,1.2.0.0/16,"(264479, 2914, 3257, 10886, 27)"
263845,1.2.0.0/16,"(264470, 10429, 3356, 2152, 25)"
270308,1.2.0.0/16,"(264459, 16735, 3356, 2152, 25)"
266277,1.2.0.0/16,"(264409, 174, 10886, 27)"
262531,1.2.0.0/16,"(264409, 174, 10886, 27)"
61596,1.2.0.0/16,"(264409, 174, 10886, 27)"
61569,1.2.0.0/16,"(264409, 174, 10886, 27)"
270489,1.2.0.0/16,"(269298, 11432, 10429, 3356, 2152, 25)"
271364,1.2.0.0/16,"(264344, 264525, 174, 10886, 27)"
267241,1.2.0.0/16,"(264324, 53062, 6762, 3257, 10886, 27)"
268627,1.2.0.0/16,"(264997, 6762, 3257, 10886, 27)"
265064,1.2.0.0/16,"(271145, 264997, 6762, 3257, 10886, 27)"
269709,1.2.0.0/16,"(264293, 3356, 2152, 25)"
268883,1.2.0.0/16,"(264293, 3356, 2152, 25)"
268408,1.2.0.0/16,"(264293, 3356, 2152, 25)"
